PAC,long,lat
NODE#424312178,-43.13967802132356,-19.8216393637656
NODE#434600303,-43.15021582020387,-19.819116295980223
NODE#442900156,-43.1742533243314,-19.824082903603085
NODE#442900161,-43.174259452311844,-19.823541210458473
NODE#445010766,-43.155972266406934,-19.816974415736638
NODE#424312242,-43.13651968953201,-19.821229269315268
NODE#445012496,-43.14851997941349,-19.819631335018073
NODE#444956788,-43.171462262173634,-19.818676983455987
NODE#442497721,-43.16131487428197,-19.82301973047612
NODE#444956233,-43.1680397104642,-19.836774055378328
NODE#445011621,-43.15712203525368,-19.82716002661391
NODE#445056359,-43.137911490223075,-19.82322918168137
NODE#444896763,-43.18136744375249,-19.80832995326466
NODE#433471474,-43.162596642021356,-19.814561157871083
NODE#424245996,-43.16650946454013,-19.810872556123513
NODE#445009632,-43.1615145894267,-19.82966295408204
NODE#433473337,-43.152396904593445,-19.81824085363246
NODE#442497746,-43.16394096570298,-19.81067983410702
NODE#424246505,-43.15885335699676,-19.820940821661566
NODE#433471283,-43.161305074369636,-19.83110453674493
NODE#424244587,-43.174787366943406,-19.807658175884058
NODE#445011491,-43.15704015557867,-19.82701343801972
